,from,to,label,pval,origin,RefSeq,gene,enzyme,reaction_name,reaction_equation,url,reaction,log2FC,baseMean,logPval,signal,signalRank,score
29,C00101,C00143,Shmt1,0.9283608417026699,246,NM_009171,20425,2.1.2.1,"5,10-Methylenetetrahydrofolate:glycine hydroxymethyltransferase","5,10-Methylenetetrahydrofolate + Glycine + H2O <=> Tetrahydrofolate + L-Serine",http://www.kegg.jp/entry/R00945,R00945,-Infinity,2.53965898451015,-2.5429579652317362,gs87,545.0,-3.519326644117389
30,C00065,C00143,Shmt1,0.9283608417026699,246,NM_009171,20425,2.1.2.1,"5,10-Methylenetetrahydrofolate:glycine hydroxymethyltransferase","5,10-Methylenetetrahydrofolate + Glycine + H2O <=> Tetrahydrofolate + L-Serine",http://www.kegg.jp/entry/R00945,R00945,-Infinity,2.53965898451015,-2.5429579652317362,gs87,545.0,-3.519326644117389
31,C00036,C00149,Mdh1,0.3896204817574471,227,NM_008618,17449,1.1.1.37,"(S)-malate:NAD+ oxidoreductase","(S)-Malate + NAD+ <=> Oxaloacetate + NADH + H+",http://www.kegg.jp/entry/R00342,R00342,-0.874893172619101,147.808167346228,-2.462774508096166,gs93,187.0,-2.8249704576015007
32,C00022,C00074,Pkm,0.22160575236193836,181,NM_001253883,18746,2.7.1.40,"ATP:pyruvate 2-O-phosphotransferase","ATP + Pyruvate <=> ADP + Phosphoenolpyruvate",http://www.kegg.jp/entry/R00200,R00200,0.832820338798944,1243.64436660378,-2.3349157726426726,gs101,23.0,-2.373708952847891
33,C00345,C01236,Pgls,0.3327499048318714,377,NM_025396,66171,3.1.1.31,"6-Phospho-D-glucono-1,5-lactone lactonohydrolase","D-Glucono-1,5-lactone 6-phosphate + H2O <=> 6-Phospho-D-gluconate",http://www.kegg.jp/entry/R02035,R02035,-1.01574403149749,140.157805148753,-2.2307070879316075,gs106,201.0,-2.6987888035080267
34,C00085,C00354,Pfkp,1.9247148084313463E-7,335,NM_019703,56421,2.7.1.11,"ATP:D-fructose-6-phosphate 1-phosphotransferase","ATP + D-Fructose 6-phosphate <=> ADP + D-Fructose 1,6-bisphosphate",http://www.kegg.jp/entry/R00756,R00756,1.05241708689694,127.054454570283,-2.1206347366573985,gs111,217.0,8.787575932340738
35,C05345,C05378,Pfkp,1.9247148084313463E-7,335,NM_019703,56421,2.7.1.11,"ATP:D-fructose-6-phosphate 1-phosphotransferase","ATP + beta-D-Fructose 6-phosphate <=> ADP + beta-D-Fructose 1,6-bisphosphate",http://www.kegg.jp/entry/R04779,R04779,1.05241708689694,127.054454570283,-2.1206347366573985,gs111,217.0,8.787575932340738
36,C00074,C00631,Eno1,0.44849990122020245,361,NM_023119,13806,4.2.1.11,"2-phospho-D-glycerate hydro-lyase (phosphoenolpyruvate-forming)","2-Phospho-D-glycerate <=> Phosphoenolpyruvate + H2O",http://www.kegg.jp/entry/R00658,R00658,1.04881536627603,89.4335611473784,-1.8197447541786465,gs131,258.0,-2.937519536424841
37,C00877,C01144,Hadha,0.17179243708960712,592,NM_178878,97212,4.2.1.17,"(S)-3-hydroxybutanoyl-CoA hydro-lyase","(S)-3-Hydroxybutanoyl-CoA <=> Crotonoyl-CoA + H2O",http://www.kegg.jp/entry/R03026,R03026,-0.933847887857521,89.2178740134129,-1.8105231356736675,gs134,259.0,-2.1700894894494107
38,C00894,C05668,Hadha,0.17179243708960712,592,NM_178878,97212,4.2.1.17,"3-Hydroxypropionyl-CoA hydro-lyase","3-Hydroxypropionyl-CoA <=> Propenoyl-CoA + H2O",http://www.kegg.jp/entry/R03045,R03045,-0.933847887857521,89.2178740134129,-1.8105231356736675,gs134,259.0,-2.1700894894494107
39,C00197,C03232,Phgdh,0.2723533206153661,324,NM_016966,236539,1.1.1.95,"3-Phospho-D-glycerate:NAD+ 2-oxidoreductase","3-Phospho-D-glycerate + NAD+ <=> 3-Phosphonooxypyruvate + NADH + H+",http://www.kegg.jp/entry/R01513,R01513,-2.6660908831191,7.6087479730853,-1.7797883352448742,gs139,488.0,-2.5386117790044542
40,C00199,C00231,Rpe,0.4720820151269436,385,NM_025683,66646,5.1.3.1,"D-Ribulose-5-phosphate 3-epimerase","D-Ribulose 5-phosphate <=> D-Xylulose 5-phosphate",http://www.kegg.jp/entry/R01529,R01529,0.508875602062072,863.074775678868,-1.5919892021655924,gs159,46.0,-2.9785006874971867
41,C00111,C00184,Tkfc,0.23219159967266023,522,NM_145496,225913,2.7.1.29,"ATP:glycerone phosphotransferase","ATP + Glycerone <=> ADP + Glycerone phosphate",http://www.kegg.jp/entry/R01011,R01011,1.69098409258108,8.92575687217304,-1.451521287851539,gs171,481.0,-2.411026346060248
42,C00022,C00149,Me1,0.34783562063239515,152,NM_001198933,17436,1.1.1.40,"(S)-Malate:NADP+ oxidoreductase(oxaloacetate-decarboxylating)","(S)-Malate + NADP+ <=> Pyruvate + CO2 + NADPH + H+",http://www.kegg.jp/entry/R00216,R00216,1.60427195201204,46.4702688904898,-1.4069050940305032,gs176,337.0,-2.7342475347078725
43,C00025,C00026,Psat1,0.34260475914925337,161,NM_001205339,107272,2.6.1.52,"3-Phosphoserine:2-oxoglutarate aminotransferase","O-Phospho-L-serine + 2-Oxoglutarate <=> 3-Phosphonooxypyruvate + L-Glutamate",http://www.kegg.jp/entry/R04173,R04173,0.985839243141839,64.4817864408787,-1.3697061636212549,gs180,296.0,-2.7221297234716317
44,C01005,C03232,Psat1,0.34260475914925337,161,NM_001205339,107272,2.6.1.52,"3-Phosphoserine:2-oxoglutarate aminotransferase","O-Phospho-L-serine + 2-Oxoglutarate <=> 3-Phosphonooxypyruvate + L-Glutamate",http://www.kegg.jp/entry/R04173,R04173,0.985839243141839,64.4817864408787,-1.3697061636212549,gs180,296.0,-2.7221297234716317
45,C00036,C00158,Acly,0.6048429461661726,157,NM_001199296,104112,2.3.3.8,"acetyl-CoA:oxaloacetate C-acetyltransferase [(pro-S)-carboxymethyl-forming, ADP-phosphorylating]","ATP + Citrate + CoA <=> ADP + Orthophosphate + Acetyl-CoA + Oxaloacetate",http://www.kegg.jp/entry/R00352,R00352,-0.593658797378489,39.7492366364518,-1.1032490848591778,gs215,359.0,-3.176684582146369
46,C00024,C00158,Acly,0.6048429461661726,157,NM_001199296,104112,2.3.3.8,"acetyl-CoA:oxaloacetate C-acetyltransferase [(pro-S)-carboxymethyl-forming, ADP-phosphorylating]","ATP + Citrate + CoA <=> ADP + Orthophosphate + Acetyl-CoA + Oxaloacetate",http://www.kegg.jp/entry/R00352,R00352,-0.593658797378489,39.7492366364518,-1.1032490848591778,gs215,359.0,-3.176684582146369
47,C00158,C00311,Aco1,0.33131929324008524,188,NM_007386,11428,4.2.1.3,"citrate hydroxymutase","Citrate <=> Isocitrate",http://www.kegg.jp/entry/R01324,R01324,-0.80000776258061,49.2515344978043,-1.093850385025959,gs218,328.0,-2.6953430999474794
48,C00085,C00279,Tkt,0.006259827856074245,251,NM_009388,21881,2.2.1.1,"D-Fructose 6-phosphate:D-glyceraldehyde-3-phosphate glycolaldehyde transferase","D-Fructose 6-phosphate + D-Glyceraldehyde 3-phosphate <=> D-Erythrose 4-phosphate + D-Xylulose 5-phosphate",http://www.kegg.jp/entry/R01067,R01067,-0.603800679024095,390.409002837563,-1.0876214859619853,gs221,95.0,0.4786959437378545
49,C00085,C00231,Tkt,0.006259827856074245,251,NM_009388,21881,2.2.1.1,"D-Fructose 6-phosphate:D-glyceraldehyde-3-phosphate glycolaldehyde transferase","D-Fructose 6-phosphate + D-Glyceraldehyde 3-phosphate <=> D-Erythrose 4-phosphate + D-Xylulose 5-phosphate",http://www.kegg.jp/entry/R01067,R01067,-0.603800679024095,390.409002837563,-1.0876214859619853,gs221,95.0,0.4786959437378545
50,C00118,C00231,Tkt,0.006259827856074245,251,NM_009388,21881,2.2.1.1,"D-Fructose 6-phosphate:D-glyceraldehyde-3-phosphate glycolaldehyde transferase","D-Fructose 6-phosphate + D-Glyceraldehyde 3-phosphate <=> D-Erythrose 4-phosphate + D-Xylulose 5-phosphate",http://www.kegg.jp/entry/R01067,R01067,-0.603800679024095,390.409002837563,-1.0876214859619853,gs221,95.0,0.4786959437378545
51,C00279,C05345,Tkt,0.006259827856074245,251,NM_009388,21881,2.2.1.1,"beta-D-Fructose 6-phosphate:D-glyceraldehyde-3-phosphate glycolaldehyde transferase","beta-D-Fructose 6-phosphate + D-Glyceraldehyde 3-phosphate <=> D-Erythrose 4-phosphate + D-Xylulose 5-phosphate",http://www.kegg.jp/entry/R01830,R01830,-0.603800679024095,390.409002837563,-1.0876214859619853,gs221,95.0,0.4786959437378545
52,C00231,C05345,Tkt,0.006259827856074245,251,NM_009388,21881,2.2.1.1,"beta-D-Fructose 6-phosphate:D-glyceraldehyde-3-phosphate glycolaldehyde transferase","beta-D-Fructose 6-phosphate + D-Glyceraldehyde 3-phosphate <=> D-Erythrose 4-phosphate + D-Xylulose 5-phosphate",http://www.kegg.jp/entry/R01830,R01830,-0.603800679024095,390.409002837563,-1.0876214859619853,gs221,95.0,0.4786959437378545
53,C00117,C05382,Tkt,0.006259827856074245,251,NM_009388,21881,2.2.1.1,"sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate glycolaldehyde transferase","Sedoheptulose 7-phosphate + D-Glyceraldehyde 3-phosphate <=> D-Ribose 5-phosphate + D-Xylulose 5-phosphate",http://www.kegg.jp/entry/R01641,R01641,-0.603800679024095,390.409002837563,-1.0876214859619853,gs221,95.0,0.4786959437378545
54,C00231,C05382,Tkt,0.006259827856074245,251,NM_009388,21881,2.2.1.1,"sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate glycolaldehyde transferase","Sedoheptulose 7-phosphate + D-Glyceraldehyde 3-phosphate <=> D-Ribose 5-phosphate + D-Xylulose 5-phosphate",http://www.kegg.jp/entry/R01641,R01641,-0.603800679024095,390.409002837563,-1.0876214859619853,gs221,95.0,0.4786959437378545
55,C00117,C00199,Rpia,0.08860424088397675,241,NM_009075,19895,5.3.1.6,"D-ribose-5-phosphate aldose-ketose-isomerase","D-Ribose 5-phosphate <=> D-Ribulose 5-phosphate",http://www.kegg.jp/entry/R01056,R01056,0.498569867403936,182.588730808962,-0.972660680307271,gs234,161.0,-1.6405879900414417
56,C00022,C00041,Gpt2,0.5163708485197276,564,NM_173866,108682,2.6.1.2,"L-Alanine:2-oxoglutarate aminotransferase","L-Alanine + 2-Oxoglutarate <=> Pyruvate + L-Glutamate",http://www.kegg.jp/entry/R00258,R00258,1.04795211903353,41.878781913922,-0.9260176239805965,gs242,354.0,-3.0502137048623905
57,C00036,C00049,Got2,0.06870408542454243,270,NM_010325,14719,2.6.1.1,"L-Aspartate:2-oxoglutarate aminotransferase","L-Aspartate + 2-Oxoglutarate <=> Oxaloacetate + L-Glutamate",http://www.kegg.jp/entry/R00355,R00355,-0.377343228130911,91.3313039144272,-0.8173541285146065,gs264,254.0,-1.4371619544791383
58,C01172,C01236,G6pdx,0.9525517106521875,208,NM_008062,14381,1.1.1.363,"beta-D-glucose-6-phosphate:NADP+ 1-oxoreductase","beta-D-Glucose 6-phosphate + NADP+ <=> D-Glucono-1,5-lactone 6-phosphate + NADPH + H+",http://www.kegg.jp/entry/R02736,R02736,0.310542076677097,220.847897501068,-0.6742752384461815,gs297,139.0,-3.53989860302618
59,C00065,C01005,Psph,0.5736687779426575,497,NM_133900,100678,3.1.3.3,"O-phospho-L-serine phosphohydrolase","O-Phospho-L-serine + H2O <=> L-Serine + Orthophosphate",http://www.kegg.jp/entry/R00582,R00582,0.903264206241462,17.2478399249198,-0.6702258314990411,gs298,431.0,-3.1343659980068357
60,C00024,C00083,Acaca,0.4970898220781237,489,NM_133360,107476,6.4.1.2,"acetyl-CoA:carbon-dioxide ligase (ADP-forming)","ATP + Acetyl-CoA + HCO3- <=> ADP + Orthophosphate + Malonyl-CoA",http://www.kegg.jp/entry/R00742,R00742,-0.23315739232184,13.5860778628809,-0.5010485314346234,gs353,457.0,-3.019780724005404
61,C00083,C00288,Acaca,0.4970898220781237,489,NM_133360,107476,6.4.1.2,"acetyl-CoA:carbon-dioxide ligase (ADP-forming)","ATP + Acetyl-CoA + HCO3- <=> ADP + Orthophosphate + Malonyl-CoA",http://www.kegg.jp/entry/R00742,R00742,-0.23315739232184,13.5860778628809,-0.5010485314346234,gs353,457.0,-3.019780724005404
62,C00100,C00894,Acox3,0.6187238364946097,470,NM_030721,80911,1.3.3.6,"propanoyl-CoA:oxygen 2-oxidoreductase","Propanoyl-CoA + Oxygen <=> Propenoyl-CoA + Hydrogen peroxide",http://www.kegg.jp/entry/R12356,R12356,-0.304582152449816,137.880145189916,-0.471161697674925,gs366,204.0,-3.194830423669433
63,C01013,C05668,Hibch,0.1578500100877136,534,NM_146108,227095,3.1.2.4,"3-Hydroxypropanoate + CoA <=> 3-Hydroxypropionyl-CoA + H2O","3-Hydroxypropanoate + CoA <=> 3-Hydroxypropionyl-CoA + H2O",http://www.kegg.jp/entry/R03158,R03158,-0.382801468875501,17.0734585001599,-0.38064612763759764,gs396,434.0,-2.1023996849335242
64,C00668,C05345,Gpi1,0.00258648197896059,211,NM_008155,14751,5.3.1.9,"alpha-D-Glucose 6-phosphate ketol-isomerase","alpha-D-Glucose 6-phosphate <=> beta-D-Fructose 6-phosphate",http://www.kegg.jp/entry/R02740,R02740,0.268366220171723,410.918046655229,-0.30049630975867153,gs430,94.0,1.1855331369735058
65,C00058,C00234,Mthfd1l,0.8934355285018682,134,NM_001170785,270685,6.3.4.3,"Formate:tetrahydrofolate ligase (ADP-forming)","Tetrahydrofolate + Formate + ATP <=> ADP + Orthophosphate + 10-Formyltetrahydrofolate",http://www.kegg.jp/entry/R00943,R00943,-0.667388940968669,0.56228492576792,-0.25932694819473134,gs452,595.0,-3.4886602631831662
66,C00101,C00234,Mthfd1l,0.8934355285018682,134,NM_001170785,270685,6.3.4.3,"Formate:tetrahydrofolate ligase (ADP-forming)","Tetrahydrofolate + Formate + ATP <=> ADP + Orthophosphate + 10-Formyltetrahydrofolate",http://www.kegg.jp/entry/R00943,R00943,-0.667388940968669,0.56228492576792,-0.25932694819473134,gs452,595.0,-3.4886602631831662
67,C00091,C01213,Mmut,0.04777346202172339,230,NM_008650,17850,5.4.99.2,"(R)-Methylmalonyl-CoA CoA-carbonylmutase","(R)-Methylmalonyl-CoA <=> Succinyl-CoA",http://www.kegg.jp/entry/R00833,R00833,-0.16506452622601,137.091520706219,-0.24212188801113194,gs458,206.0,-1.1465924039107924
68,C00143,C00445,Mthfd1,0.7829776669386774,508,NM_138745,108156,1.5.1.5,"5,10-methylenetetrahydrofolate:NADP+ oxidoreductase","5,10-Methylenetetrahydrofolate + NADP+ <=> 5,10-Methenyltetrahydrofolate + NADPH",http://www.kegg.jp/entry/R01220,R01220,0.535371333125574,18.1827911284696,-0.20837733070162104,gs480,426.0,-3.383120997860001
69,C00118,C00236,Gapdh,0.3536201645620167,209,NM_008084,14433,1.2.1.12,"D-glyceraldehyde-3-phosphate:NAD+ oxidoreductase (phosphorylating)","D-Glyceraldehyde 3-phosphate + Orthophosphate + NAD+ <=> 3-Phospho-D-glyceroyl phosphate + NADH + H+",http://www.kegg.jp/entry/R01061,R01061,0.639676547654185,9.08943050790192,-0.13805383506431404,gs513,480.0,-2.747437616962206
70,C01031,C14180,Adh5,0.20849463809281588,189,NM_007410,11532,1.1.1.284,"S-(hydroxymethyl)glutathione dehydrogenase","S-(Hydroxymethyl)glutathione + NAD+ <=> S-Formylglutathione + NADH + H+",http://www.kegg.jp/entry/R06983,R06983,0.0532468550270724,74.3395318988958,-0.0772174672193098,gs539,284.0,-2.3249366590334573
71,C00118,C00279,Taldo1,0.5517292582258083,294,NM_011528,21351,2.2.1.2,"sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate glyceronetransferase","Sedoheptulose 7-phosphate + D-Glyceraldehyde 3-phosphate <=> D-Erythrose 4-phosphate + beta-D-Fructose 6-phosphate",http://www.kegg.jp/entry/R01827,R01827,0.121011521700435,4096.84026889999,-0.0560784673981592,gs551,4.0,-3.1031810641748994
72,C05345,C05382,Taldo1,0.5517292582258083,294,NM_011528,21351,2.2.1.2,"sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate glyceronetransferase","Sedoheptulose 7-phosphate + D-Glyceraldehyde 3-phosphate <=> D-Erythrose 4-phosphate + beta-D-Fructose 6-phosphate",http://www.kegg.jp/entry/R01827,R01827,0.121011521700435,4096.84026889999,-0.0560784673981592,gs551,4.0,-3.1031810641748994
73,C00279,C05382,Taldo1,0.5517292582258083,294,NM_011528,21351,2.2.1.2,"sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate glyceronetransferase","Sedoheptulose 7-phosphate + D-Glyceraldehyde 3-phosphate <=> D-Erythrose 4-phosphate + beta-D-Fructose 6-phosphate",http://www.kegg.jp/entry/R01827,R01827,0.121011521700435,4096.84026889999,-0.0560784673981592,gs551,4.0,-3.1031810641748994
